prospect_id,industry,region,company_size_band,est_annual_revenue,digital_engagement_score,years_in_business,existing_bank_relationship,targeting_readiness_score,targeting_tier
PROS-100063,Education,North,10-49 employees,1488000.0,23.2,35,No,43.7,Tier 2 - Warm
PROS-100064,Healthcare,South,1-9 employees,935000.0,59.2,14,Yes,34.3,Tier 2 - Warm
PROS-100065,Construction,South,250-999 employees,439000.0,10.3,25,Yes,45.5,Tier 2 - Warm
PROS-100066,Education,South,10-49 employees,1046000.0,19.6,34,Yes,41.4,Tier 2 - Warm
PROS-100067,Construction,South,1-9 employees,109000.0,68.0,16,No,39.5,Tier 2 - Warm
PROS-100068,Manufacturing,North,1-9 employees,3645000.0,15.7,39,Yes,36.3,Tier 2 - Warm
PROS-100069,Healthcare,Central,1-9 employees,1285000.0,70.9,35,No,55.6,Tier 2 - Warm
PROS-100070,Hospitality,North,250-999 employees,282000.0,74.5,24,No,70.9,Tier 1 - Priority
PROS-100071,Retail Trade,West,1-9 employees,383000.0,60.5,20,No,39.6,Tier 2 - Warm
PROS-100072,Healthcare,West,1-9 employees,112000.0,33.3,7,Yes,18.2,Tier 3 - Nurture
PROS-100073,Retail Trade,West,1-9 employees,724000.0,26.8,8,Yes,16.3,Tier 3 - Nurture
PROS-100074,Technology,Central,50-249 employees,429000.0,69.0,35,No,69.9,Tier 1 - Priority
PROS-100075,Healthcare,North,10-49 employees,170000.0,38.8,14,Yes,33.5,Tier 2 - Warm
PROS-100076,Construction,South,10-49 employees,1714000.0,48.8,37,No,55.7,Tier 2 - Warm
PROS-100077,Professional Services,North,10-49 employees,2971000.0,9.6,15,Yes,22.3,Tier 3 - Nurture
PROS-100078,Transportation & Logistics,East,1-9 employees,724000.0,81.4,10,No,40.2,Tier 2 - Warm
PROS-100079,Technology,West,250-999 employees,521000.0,40.099999999999994,23,No,56.1,Tier 2 - Warm
PROS-100080,Education,Central,1-9 employees,1177000.0,25.3,12,No,18.9,Tier 3 - Nurture
PROS-100081,Healthcare,South,1-9 employees,714000.0,42.7,16,No,29.1,Tier 3 - Nurture
PROS-100082,Retail Trade,South,10-49 employees,222000.0,82.3,19,Yes,55.2,Tier 2 - Warm
PROS-100083,Wholesale Distribution,Central,1-9 employees,356000.0,35.5,32,Yes,38.8,Tier 2 - Warm
PROS-100084,Technology,West,1-9 employees,526000.0,60.0,33,Yes,49.6,Tier 2 - Warm
PROS-100085,Hospitality,West,50-249 employees,958000.0,9.8,25,No,37.8,Tier 2 - Warm
PROS-100086,Manufacturing,East,10-49 employees,749000.0,7.9,37,Yes,39.0,Tier 2 - Warm
PROS-100087,Construction,East,1-9 employees,919000.0,59.1,10,Yes,31.1,Tier 3 - Nurture
PROS-100088,Hospitality,South,1-9 employees,136000.0,25.3,26,Yes,29.9,Tier 3 - Nurture
PROS-100089,Wholesale Distribution,West,50-249 employees,1516000.0,35.2,16,No,41.1,Tier 2 - Warm
PROS-100090,Healthcare,South,1-9 employees,732000.0,77.5,17,No,44.1,Tier 2 - Warm
PROS-100091,Wholesale Distribution,Central,1-9 employees,12091000.0,28.4,29,No,33.5,Tier 2 - Warm
PROS-100092,Wholesale Distribution,North,10-49 employees,476000.0,54.8,14,Yes,40.0,Tier 2 - Warm
PROS-100093,Construction,East,10-49 employees,1041000.0,25.7,10,No,24.9,Tier 3 - Nurture
PROS-100094,Wholesale Distribution,South,1000+ employees,16389000.0,38.6,19,Yes,59.8,Tier 2 - Warm
PROS-100095,Professional Services,West,10-49 employees,903000.0,8.7,4,No,13.3,Tier 3 - Nurture
PROS-100096,Professional Services,West,1-9 employees,677000.0,62.9,22,No,42.1,Tier 2 - Warm
PROS-100097,Technology,Central,10-49 employees,246000.0,62.4,28,Yes,54.1,Tier 2 - Warm
PROS-100098,Technology,West,10-49 employees,3918000.0,62.6,6,Yes,36.9,Tier 2 - Warm
PROS-100099,Retail Trade,South,1-9 employees,204000.0,9.2,16,Yes,15.4,Tier 3 - Nurture
PROS-100100,Wholesale Distribution,South,10-49 employees,1167000.0,55.7,11,Yes,38.0,Tier 2 - Warm
PROS-100101,Retail Trade,Central,1-9 employees,433000.0,56.1,5,Yes,25.9,Tier 3 - Nurture
PROS-100102,Wholesale Distribution,East,50-249 employees,592000.0,39.05,6,Yes,34.7,Tier 2 - Warm
PROS-100103,Manufacturing,North,50-249 employees,152000.0,48.1,19,Yes,48.7,Tier 2 - Warm
PROS-100104,Hospitality,Central,10-49 employees,3196000.0,54.3,22,Yes,46.1,Tier 2 - Warm
PROS-100105,Hospitality,West,1000+ employees,537000.0,2.6,22,No,47.5,Tier 2 - Warm
PROS-100106,Hospitality,North,1000+ employees,705500.0,29.9,3,No,43.6,Tier 2 - Warm
PROS-100107,Technology,West,1-9 employees,2893000.0,37.6,2,No,16.0,Tier 3 - Nurture
PROS-100108,Healthcare,West,10-49 employees,419000.0,17.2,5,Yes,17.5,Tier 3 - Nurture
PROS-100109,Hospitality,West,10-49 employees,1054000.0,7.6,31,No,34.1,Tier 2 - Warm
PROS-100110,Professional Services,Central,1-9 employees,1841000.0,47.1,26,No,38.8,Tier 2 - Warm
PROS-100111,Hospitality,East,10-49 employees,1229000.0,11.0,20,Yes,26.8,Tier 3 - Nurture
PROS-100112,Transportation & Logistics,East,1-9 employees,65000.0,35.1,2,No,15.0,Tier 3 - Nurture
PROS-100113,Healthcare,West,1000+ employees,1567000.0,81.5,1,No,63.1,Tier 2 - Warm
PROS-100114,Transportation & Logistics,North,10-49 employees,653000.0,7.8,16,No,22.4,Tier 3 - Nurture
PROS-100115,Transportation & Logistics,North,50-249 employees,508000.0,52.7,34,Yes,62.4,Tier 2 - Warm
PROS-100116,Manufacturing,Central,10-49 employees,647000.0,30.1,5,Yes,22.8,Tier 3 - Nurture
PROS-100117,Retail Trade,South,1-9 employees,124000.0,23.0,23,Yes,26.6,Tier 3 - Nurture
PROS-100118,Professional Services,East,250-999 employees,901000.0,48.4,23,No,59.5,Tier 2 - Warm
PROS-100119,Retail Trade,South,1-9 employees,163000.0,23.7,38,No,38.7,Tier 2 - Warm
PROS-100120,Healthcare,South,1-9 employees,533000.0,49.0,12,Yes,28.5,Tier 3 - Nurture
PROS-100121,Technology,East,10-49 employees,866000.0,65.5,11,Yes,42.0,Tier 2 - Warm
PROS-100122,Technology,Central,50-249 employees,2377000.0,74.9,24,Yes,63.6,Tier 2 - Warm
PROS-100123,Healthcare,East,1-9 employees,296000.0,36.0,17,No,27.2,Tier 3 - Nurture
PROS-100124,Wholesale Distribution,North,1-9 employees,3601000.0,48.5,7,Yes,24.4,Tier 3 - Nurture
PROS-100125,Transportation & Logistics,South,1-9 employees,2067000.0,33.0,26,Yes,33.1,Tier 2 - Warm
PROS-100126,Manufacturing,North,1-9 employees,455000.0,27.1,38,No,40.1,Tier 2 - Warm
PROS-100127,Hospitality,Central,1-9 employees,215000.0,23.8,36,Yes,37.2,Tier 2 - Warm
PROS-100128,Transportation & Logistics,South,10-49 employees,149000.0,22.6,4,No,18.9,Tier 3 - Nurture
PROS-100129,Technology,South,1-9 employees,984000.0,39.5,31,Yes,39.7,Tier 2 - Warm
PROS-100130,Transportation & Logistics,North,1-9 employees,324000.0,14.4,28,Yes,27.0,Tier 3 - Nurture
PROS-100131,Transportation & Logistics,East,10-49 employees,2729000.0,39.7,26,No,43.3,Tier 2 - Warm
PROS-100132,Manufacturing,Central,50-249 employees,345000.0,38.3,19,Yes,44.7,Tier 2 - Warm
PROS-100133,Transportation & Logistics,East,1-9 employees,271000.0,17.9,32,Yes,31.6,Tier 3 - Nurture
PROS-100134,Hospitality,West,1-9 employees,943000.0,26.9,23,No,28.2,Tier 3 - Nurture
PROS-100135,Construction,North,1-9 employees,343000.0,23.5,4,No,11.8,Tier 3 - Nurture
PROS-100136,Technology,North,1000+ employees,736000.0,42.4,6,Yes,51.1,Tier 2 - Warm
PROS-100137,Manufacturing,West,1-9 employees,2158000.0,58.6,29,No,45.9,Tier 2 - Warm
PROS-100138,Construction,North,1-9 employees,830000.0,34.0,16,Yes,25.6,Tier 3 - Nurture
PROS-100139,Healthcare,East,10-49 employees,833000.0,37.4,23,No,40.0,Tier 2 - Warm
PROS-100140,Education,South,1-9 employees,914000.0,45.1,32,No,42.7,Tier 2 - Warm
PROS-100141,Professional Services,North,1-9 employees,113000.0,10.0,11,Yes,11.8,Tier 3 - Nurture
PROS-100142,Professional Services,East,1-9 employees,1122000.0,54.4,35,No,48.9,Tier 2 - Warm
PROS-100143,Healthcare,Central,10-49 employees,870000.0,14.9,10,Yes,20.5,Tier 3 - Nurture
PROS-100144,Education,North,10-49 employees,1948000.0,8.9,18,Yes,24.4,Tier 3 - Nurture
PROS-100145,Wholesale Distribution,Central,50-249 employees,1420000.0,36.1,12,Yes,38.3,Tier 2 - Warm
PROS-100146,Manufacturing,East,50-249 employees,584000.0,70.6,28,No,65.0,Tier 2 - Warm
PROS-100147,Professional Services,West,1-9 employees,2271000.0,32.4,5,No,16.2,Tier 3 - Nurture
PROS-100148,Wholesale Distribution,North,250-999 employees,529000.0,30.1,14,No,44.9,Tier 2 - Warm
PROS-100149,Manufacturing,Central,50-249 employees,957000.0,58.9,11,Yes,46.8,Tier 2 - Warm
PROS-100150,Wholesale Distribution,North,50-249 employees,518000.0,27.8,29,Yes,48.3,Tier 2 - Warm
PROS-100151,Professional Services,Central,50-249 employees,1212000.0,22.6,3,No,25.6,Tier 3 - Nurture
PROS-100152,Education,West,10-49 employees,482000.0,16.0,26,Yes,33.6,Tier 2 - Warm
PROS-100153,Professional Services,South,1-9 employees,4467000.0,49.1,27,No,40.4,Tier 2 - Warm
PROS-100154,Healthcare,North,10-49 employees,6710000.0,67.7,29,No,57.1,Tier 2 - Warm
PROS-100155,Technology,West,1-9 employees,1908000.0,83.2,20,No,48.8,Tier 2 - Warm
PROS-100156,Retail Trade,North,10-49 employees,3975000.0,49.0,26,Yes,47.1,Tier 2 - Warm
PROS-100157,Transportation & Logistics,West,1-9 employees,134000.0,17.8,5,Yes,10.3,Tier 3 - Nurture
PROS-100158,Transportation & Logistics,West,1-9 employees,153000.0,41.8,22,Yes,33.5,Tier 2 - Warm
PROS-100159,Hospitality,South,250-999 employees,512000.0,24.3,28,No,53.6,Tier 2 - Warm
PROS-100160,Education,South,50-249 employees,763000.0,69.5,10,Yes,50.3,Tier 2 - Warm
PROS-100161,Technology,South,10-49 employees,587000.0,34.3,7,No,26.1,Tier 3 - Nurture
PROS-100162,Healthcare,South,1-9 employees,120000.0,33.5,12,No,22.2,Tier 3 - Nurture
PROS-100163,Healthcare,North,10-49 employees,2589000.0,56.6,20,No,45.5,Tier 2 - Warm
PROS-100164,Healthcare,South,250-999 employees,7800000.0,39.5,2,No,39.3,Tier 2 - Warm
PROS-100165,Wholesale Distribution,West,50-249 employees,738500.0,72.4,36,No,72.0,Tier 1 - Priority
PROS-100166,Construction,South,10-49 employees,2407000.0,37.4,26,Yes,42.4,Tier 2 - Warm
PROS-100167,Retail Trade,West,10-49 employees,935000.0,70.5,30,No,59.0,Tier 2 - Warm
PROS-100168,Construction,Central,1-9 employees,289000.0,44.8,34,Yes,44.2,Tier 2 - Warm
PROS-100169,Manufacturing,West,50-249 employees,790000.0,34.5,23,No,46.3,Tier 2 - Warm
PROS-100170,Retail Trade,East,1000+ employees,7394000.0,85.6,31,Yes,88.5,Tier 1 - Priority
PROS-100171,Manufacturing,South,10-49 employees,495000.0,10.9,23,No,29.2,Tier 3 - Nurture
PROS-100172,Hospitality,Central,10-49 employees,442000.0,18.7,31,Yes,38.7,Tier 2 - Warm
PROS-100173,Hospitality,South,10-49 employees,2466000.0,31.0,3,No,21.6,Tier 3 - Nurture
PROS-100174,Technology,East,10-49 employees,2653000.0,47.5,33,Yes,52.0,Tier 2 - Warm
PROS-100175,Healthcare,East,1000+ employees,287000.0,36.0,17,No,57.2,Tier 2 - Warm
PROS-100176,Hospitality,West,50-249 employees,547000.0,6.9,19,Yes,31.9,Tier 3 - Nurture
PROS-100177,Retail Trade,East,10-49 employees,420000.0,25.2,12,Yes,26.3,Tier 3 - Nurture
PROS-100178,Education,West,10-49 employees,788000.0,43.0,16,No,36.7,Tier 2 - Warm
PROS-100179,Transportation & Logistics,Central,10-49 employees,2456000.0,55.4,19,No,44.2,Tier 2 - Warm
PROS-100180,Education,South,1-9 employees,301000.0,57.2,15,Yes,34.3,Tier 2 - Warm
PROS-100181,Retail Trade,Central,10-49 employees,2418000.0,22.9,38,No,45.9,Tier 2 - Warm
PROS-100182,Healthcare,North,50-249 employees,816000.0,10.4,20,No,34.1,Tier 2 - Warm
PROS-100183,Technology,Central,50-249 employees,9424000.0,49.4,31,No,58.7,Tier 2 - Warm
PROS-100184,Healthcare,North,1-9 employees,1036000.0,25.7,38,Yes,39.5,Tier 2 - Warm
PROS-100185,Healthcare,Central,50-249 employees,656000.0,50.0,24,No,53.4,Tier 2 - Warm
PROS-100186,Retail Trade,South,50-249 employees,1373000.0,9.9,14,Yes,29.1,Tier 3 - Nurture
PROS-100187,Construction,Central,1-9 employees,503000.0,79.5,28,No,53.6,Tier 2 - Warm
PROS-100188,Professional Services,North,10-49 employees,101000.0,12.5,1,Yes,12.4,Tier 3 - Nurture
PROS-100189,Construction,East,10-49 employees,560000.0,26.7,29,No,40.4,Tier 2 - Warm
PROS-100190,Technology,Central,50-249 employees,550000.0,30.5,1,Yes,27.3,Tier 3 - Nurture
PROS-100191,Technology,North,1-9 employees,127000.0,59.0,18,Yes,37.4,Tier 2 - Warm
PROS-100192,Technology,South,1-9 employees,673000.0,37.3,11,No,23.0,Tier 3 - Nurture
PROS-100193,Construction,North,10-49 employees,749000.0,29.0,34,No,45.2,Tier 2 - Warm
PROS-100194,Education,South,1-9 employees,724000.0,41.2,26,No,36.4,Tier 2 - Warm
PROS-100195,Manufacturing,South,10-49 employees,954000.0,31.1,25,No,39.0,Tier 2 - Warm
PROS-100196,Construction,West,50-249 employees,812000.0,35.0,26,Yes,48.9,Tier 2 - Warm
PROS-100197,Retail Trade,South,1-9 employees,464000.0,21.8,29,No,30.8,Tier 3 - Nurture
PROS-100198,Construction,North,10-49 employees,664000.0,59.9,7,Yes,36.5,Tier 2 - Warm
PROS-100199,Education,North,1000+ employees,308000.0,14.2,1,Yes,35.6,Tier 2 - Warm
PROS-100200,Construction,Central,10-49 employees,738000.0,44.3,37,Yes,53.9,Tier 2 - Warm
PROS-100201,Education,Central,10-49 employees,778000.0,15.4,21,Yes,29.4,Tier 3 - Nurture
PROS-100202,Healthcare,South,10-49 employees,271000.0,84.4,27,Yes,62.3,Tier 2 - Warm
PROS-100203,Technology,North,1-9 employees,979000.0,35.3,15,Yes,25.3,Tier 3 - Nurture
PROS-100204,Healthcare,North,1-9 employees,972000.0,50.0,34,No,46.3,Tier 2 - Warm
PROS-100205,Professional Services,Central,50-249 employees,738500.0,10.9,3,No,20.9,Tier 3 - Nurture
PROS-100206,Hospitality,West,10-49 employees,10461000.0,12.4,18,Yes,25.8,Tier 3 - Nurture
PROS-100207,Education,West,1-9 employees,625000.0,52.9,26,Yes,41.2,Tier 2 - Warm
PROS-100208,Professional Services,South,1-9 employees,537000.0,21.9,19,Yes,23.0,Tier 3 - Nurture
PROS-100209,Hospitality,West,50-249 employees,458000.0,60.6,37,No,68.0,Tier 1 - Priority
PROS-100210,Professional Services,North,1-9 employees,251000.0,29.2,1,Yes,11.8,Tier 3 - Nurture
PROS-100211,Hospitality,West,50-249 employees,1551000.0,15.8,29,No,43.4,Tier 2 - Warm
PROS-100212,Hospitality,East,10-49 employees,343000.0,60.9,35,Yes,59.1,Tier 2 - Warm
PROS-100213,Healthcare,South,10-49 employees,391000.0,59.1,4,No,33.9,Tier 2 - Warm
PROS-100214,Hospitality,West,1-9 employees,404000.0,49.2,26,No,39.7,Tier 2 - Warm
PROS-100215,Professional Services,West,1-9 employees,247000.0,54.0,3,Yes,23.5,Tier 3 - Nurture
PROS-100216,Manufacturing,East,10-49 employees,106000.0,24.2,25,No,36.2,Tier 2 - Warm
PROS-100217,Manufacturing,North,50-249 employees,438000.0,17.7,14,Yes,32.3,Tier 3 - Nurture
PROS-100218,Healthcare,North,1-9 employees,1906000.0,21.8,33,Yes,34.0,Tier 2 - Warm
PROS-100219,Education,Central,10-49 employees,906000.0,29.8,10,No,26.6,Tier 3 - Nurture
PROS-100220,Retail Trade,South,10-49 employees,4060000.0,69.3,15,Yes,46.7,Tier 2 - Warm
PROS-100221,Healthcare,South,1-9 employees,1666000.0,36.1,2,No,15.4,Tier 3 - Nurture
PROS-100222,Hospitality,West,10-49 employees,1298000.0,48.9,29,Yes,49.4,Tier 2 - Warm
PROS-100223,Professional Services,South,1-9 employees,5786000.0,51.4,2,No,21.6,Tier 3 - Nurture
PROS-100224,Hospitality,South,10-49 employees,655000.0,11.5,27,No,32.6,Tier 3 - Nurture
PROS-100225,Construction,West,1-9 employees,782000.0,40.4,14,No,26.6,Tier 3 - Nurture
PROS-100226,Wholesale Distribution,East,10-49 employees,720000.0,39.05,37,Yes,51.7,Tier 2 - Warm
PROS-100227,Transportation & Logistics,West,1-9 employees,3985000.0,41.8,6,Yes,20.9,Tier 3 - Nurture
PROS-100228,Transportation & Logistics,North,10-49 employees,731000.0,46.5,25,No,45.3,Tier 2 - Warm
PROS-100229,Retail Trade,East,10-49 employees,358000.0,29.6,8,No,25.0,Tier 3 - Nurture
PROS-100230,Healthcare,East,250-999 employees,1392000.0,8.3,2,No,26.5,Tier 3 - Nurture
PROS-100231,Wholesale Distribution,West,10-49 employees,749000.0,37.15,34,Yes,48.6,Tier 2 - Warm
PROS-100232,Manufacturing,North,50-249 employees,1312000.0,50.5,35,No,62.3,Tier 2 - Warm
PROS-100233,Hospitality,North,1-9 employees,1150000.0,23.4,39,No,39.4,Tier 2 - Warm
PROS-100234,Healthcare,West,10-49 employees,592000.0,2.4,8,No,13.8,Tier 3 - Nurture
PROS-100235,Hospitality,West,1-9 employees,1359000.0,44.5,32,Yes,42.5,Tier 2 - Warm
PROS-100236,Technology,Central,10-49 employees,142000.0,56.6,20,No,45.5,Tier 2 - Warm
PROS-100237,Healthcare,South,50-249 employees,873000.0,16.3,10,Yes,28.6,Tier 3 - Nurture
PROS-100238,Construction,Central,50-249 employees,738500.0,63.4,16,Yes,52.6,Tier 2 - Warm
PROS-100239,Technology,South,10-49 employees,16996000.0,29.3,7,Yes,24.0,Tier 3 - Nurture
PROS-100240,Retail Trade,West,10-49 employees,866000.0,69.1,25,No,54.5,Tier 2 - Warm
PROS-100241,Transportation & Logistics,North,1-9 employees,378000.0,57.5,23,No,40.7,Tier 2 - Warm
PROS-100242,Manufacturing,Central,1-9 employees,160000.0,55.6,7,No,27.3,Tier 3 - Nurture
PROS-100243,Technology,South,50-249 employees,3066000.0,34.3,31,Yes,52.5,Tier 2 - Warm
PROS-100244,Technology,Central,1-9 employees,496000.0,39.7,23,No,33.4,Tier 2 - Warm
PROS-100245,Manufacturing,South,1-9 employees,305000.0,40.25,26,Yes,36.0,Tier 2 - Warm
PROS-100246,Hospitality,West,250-999 employees,1056000.0,35.4,6,Yes,40.7,Tier 2 - Warm
PROS-100247,Healthcare,East,1000+ employees,1491000.0,22.4,32,No,63.5,Tier 2 - Warm
PROS-100248,Hospitality,North,10-49 employees,1465000.0,56.7,15,Yes,41.6,Tier 2 - Warm
PROS-100249,Manufacturing,North,10-49 employees,745000.0,58.7,19,Yes,45.5,Tier 2 - Warm
PROS-100250,Retail Trade,West,50-249 employees,869000.0,43.4,7,No,37.3,Tier 2 - Warm
PROS-100251,Healthcare,North,1-9 employees,942000.0,43.0,39,No,47.4,Tier 2 - Warm
PROS-100252,Retail Trade,South,10-49 employees,1056000.0,58.6,21,Yes,47.1,Tier 2 - Warm
PROS-100253,Construction,East,10-49 employees,1164000.0,45.6,31,No,49.7,Tier 2 - Warm
PROS-100254,Technology,South,250-999 employees,2431000.0,37.1,24,No,55.7,Tier 2 - Warm
PROS-100255,Retail Trade,North,250-999 employees,776000.0,47.2,2,Yes,42.4,Tier 2 - Warm
PROS-100256,Technology,West,50-249 employees,297000.0,21.3,28,No,44.9,Tier 2 - Warm
PROS-100257,Retail Trade,West,1-9 employees,622000.0,83.6,15,No,45.0,Tier 2 - Warm
PROS-100258,Retail Trade,West,10-49 employees,1671000.0,68.6,24,Yes,53.5,Tier 2 - Warm
PROS-100259,Transportation & Logistics,Central,1-9 employees,102000.0,7.1,22,Yes,19.3,Tier 3 - Nurture
PROS-100260,Hospitality,North,250-999 employees,103000.0,65.7,31,Yes,72.9,Tier 1 - Priority
PROS-100261,Retail Trade,East,1-9 employees,2003000.0,9.4,9,No,10.0,Tier 3 - Nurture
PROS-100262,Professional Services,South,1-9 employees,3883000.0,38.9,38,Yes,44.9,Tier 2 - Warm
PROS-100263,Education,Central,50-249 employees,738500.0,17.3,16,Yes,33.7,Tier 2 - Warm
PROS-100264,Education,East,10-49 employees,815000.0,78.0,29,Yes,61.3,Tier 2 - Warm
