customer_id,acquisition_date,variant,week4_active_rate,dispute_rate_30d,cohort_month
CUST-200174,2025-11-20,treatment,0.599,0.0,2025-11
CUST-200175,2025-01-21,treatment,0.583,0.058,2025-01
CUST-200176,2026-01-18,treatment,0.564,0.041,2026-01
CUST-200177,2025-03-30,control,0.404,0.061,2025-03
CUST-200178,2026-01-10,treatment,0.42,0.085,2026-01
CUST-200179,2025-09-20,control,0.598,0.06,2025-09
CUST-200180,2025-01-06,treatment,0.405,0.043,2025-01
CUST-200181,2025-11-09,control,0.401,0.044,2025-11
CUST-200182,2026-02-03,treatment,0.575,0.069,2026-02
CUST-200183,2026-01-05,treatment,0.589,0.055,2026-01
CUST-200184,2025-12-21,control,0.427,0.051,2025-12
CUST-200185,2025-04-07,control,0.529,0.075,2025-04
CUST-200186,2025-03-21,control,0.355,0.045,2025-03
CUST-200187,2025-05-05,control,0.266,0.047,2025-05
CUST-200188,2025-08-11,control,0.534,0.066,2025-08
CUST-200189,2025-11-07,control,0.399,0.035,2025-11
CUST-200190,2026-01-29,treatment,0.559,0.024,2026-01
CUST-200191,2025-07-12,control,0.412,0.057,2025-07
CUST-200192,2025-07-08,control,0.371,0.063,2025-07
CUST-200193,2025-12-06,treatment,0.347,0.034,2025-12
CUST-200194,2026-01-17,treatment,0.44,0.048,2026-01
CUST-200195,2025-06-21,control,0.442,0.071,2025-06
CUST-200196,2025-08-06,treatment,0.379,0.024,2025-08
CUST-200197,2025-04-15,treatment,0.666,0.001,2025-04
CUST-200198,2025-05-18,control,0.392,0.079,2025-05
CUST-200199,2025-11-01,control,0.487,0.031,2025-11
CUST-200200,2025-03-06,control,0.491,0.041,2025-03
CUST-200201,2025-04-25,control,0.414,0.027,2025-04
CUST-200202,2025-02-11,treatment,0.562,0.055,2025-02
CUST-200203,2025-04-12,control,0.393,0.071,2025-04
CUST-200204,2025-10-10,treatment,0.565,0.088,2025-10
CUST-200205,2025-12-10,treatment,0.449,0.088,2025-12
CUST-200206,2025-05-12,treatment,0.433,0.075,2025-05
CUST-200207,2025-12-26,treatment,0.529,0.051,2025-12
CUST-200208,2025-06-13,control,0.447,0.066,2025-06
CUST-200209,2025-04-17,control,0.285,0.064,2025-04
CUST-200210,2026-01-10,treatment,0.551,0.042,2026-01
CUST-200211,2025-07-25,treatment,0.58,0.068,2025-07
CUST-200212,2025-03-21,treatment,0.561,0.052,2025-03
CUST-200213,2025-03-30,control,0.577,0.051,2025-03
CUST-200214,2025-05-30,control,0.403,0.076,2025-05
CUST-200215,2025-02-13,treatment,0.598,0.042,2025-02
CUST-200216,2025-12-30,treatment,0.428,0.067,2025-12
CUST-200217,2025-09-05,control,0.523,0.045,2025-09
CUST-200218,2026-01-12,control,0.364,0.0,2026-01
CUST-200219,2025-04-06,control,0.325,0.064,2025-04
CUST-200220,2025-11-18,control,0.348,0.03,2025-11
CUST-200221,2025-09-28,control,0.422,0.083,2025-09
CUST-200222,2025-06-03,treatment,0.485,0.047,2025-06
CUST-200223,2025-05-20,control,0.392,0.034,2025-05
CUST-200224,2025-02-20,control,0.53,0.047,2025-02
CUST-200225,2025-11-16,control,0.47,0.058,2025-11
CUST-200226,2025-11-12,control,0.595,0.081,2025-11
CUST-200227,2025-08-13,control,0.546,0.085,2025-08
CUST-200228,2025-12-02,treatment,0.408,0.045,2025-12
CUST-200229,2025-09-06,control,0.393,0.047,2025-09
CUST-200230,2025-10-13,control,0.373,0.069,2025-10
CUST-200231,2026-02-03,control,0.433,0.051,2026-02
CUST-200232,2025-05-15,control,0.457,0.084,2025-05
CUST-200233,2025-09-19,treatment,0.476,0.023,2025-09
CUST-200234,2025-09-18,treatment,0.425,0.09,2025-09
CUST-200235,2025-12-30,control,0.488,0.067,2025-12
CUST-200236,2025-10-08,control,0.381,0.052,2025-10
CUST-200237,2025-04-17,control,0.321,0.079,2025-04
CUST-200238,2025-12-21,control,0.4,0.071,2025-12
CUST-200239,2025-11-22,treatment,0.513,0.06,2025-11
CUST-200240,2025-02-25,control,0.37,0.068,2025-02
CUST-200241,2025-10-22,control,0.458,0.067,2025-10
CUST-200242,2025-04-16,control,0.406,0.083,2025-04
CUST-200243,2025-04-19,treatment,0.45,0.034,2025-04
CUST-200244,2025-06-11,control,0.384,0.081,2025-06
CUST-200245,2025-05-06,control,0.387,0.051,2025-05
CUST-200246,2025-11-21,control,0.461,0.073,2025-11
CUST-200247,2025-03-20,control,0.419,0.091,2025-03
CUST-200248,2025-12-24,control,0.453,0.084,2025-12
CUST-200249,2025-01-23,control,0.406,0.057,2025-01
CUST-200250,2025-04-22,control,0.479,0.027,2025-04
CUST-200251,2025-07-01,treatment,0.689,0.071,2025-07
CUST-200252,2025-07-21,treatment,0.565,0.028,2025-07
CUST-200253,2025-12-20,treatment,0.546,0.053,2025-12
CUST-200254,2025-09-01,treatment,0.418,0.052,2025-09
CUST-200255,2025-07-31,control,0.464,0.077,2025-07
CUST-200256,2025-03-08,treatment,0.654,0.039,2025-03
CUST-200257,2025-01-18,treatment,0.473,0.017,2025-01
CUST-200258,2025-11-13,control,0.362,0.018,2025-11
CUST-200259,2025-08-19,treatment,0.455,0.056,2025-08
CUST-200260,2025-07-08,treatment,0.476,0.038,2025-07
CUST-200261,2025-07-21,control,0.279,0.046,2025-07
CUST-200262,2025-12-24,control,0.325,0.058,2025-12
CUST-200263,2025-07-02,control,0.303,0.066,2025-07
CUST-200264,2025-08-08,control,0.357,0.07,2025-08
CUST-200265,2025-07-26,treatment,0.578,0.014,2025-07
CUST-200266,2025-11-30,treatment,0.413,0.068,2025-11
CUST-200267,2025-03-31,treatment,0.394,0.065,2025-03
CUST-200268,2025-01-20,control,0.336,0.007,2025-01
CUST-200269,2026-01-19,treatment,0.507,0.063,2026-01
CUST-200270,2025-06-25,control,0.384,0.074,2025-06
CUST-200271,2025-08-19,control,0.437,0.05,2025-08
CUST-200272,2025-06-17,control,0.525,0.036,2025-06
CUST-200273,2025-04-28,control,0.381,0.063,2025-04
CUST-200274,2025-03-19,control,0.282,0.034,2025-03
CUST-200275,2025-09-29,control,0.364,0.081,2025-09
CUST-200276,2025-08-13,control,0.485,0.061,2025-08
CUST-200277,2025-09-08,treatment,0.387,0.082,2025-09
CUST-200278,2025-10-28,control,0.323,0.048,2025-10
CUST-200279,2025-04-30,treatment,0.476,0.061,2025-04
CUST-200280,2025-07-17,treatment,0.495,0.058,2025-07
CUST-200281,2025-08-29,treatment,0.533,0.023,2025-08
CUST-200282,2025-11-29,treatment,0.517,0.029,2025-11
CUST-200283,2025-02-09,control,0.451,0.074,2025-02
CUST-200284,2025-04-28,control,0.367,0.078,2025-04
CUST-200285,2025-03-20,control,0.482,0.076,2025-03
CUST-200286,2025-04-30,treatment,0.45,0.038,2025-04
CUST-200287,2026-01-09,control,0.487,0.05,2026-01
CUST-200288,2025-03-08,treatment,0.643,0.095,2025-03
CUST-200289,2025-10-28,treatment,0.384,0.073,2025-10
CUST-200290,2025-11-10,control,0.297,0.073,2025-11
CUST-200291,2025-10-25,control,0.553,0.068,2025-10
CUST-200292,2025-03-01,treatment,0.346,0.07,2025-03
CUST-200293,2025-02-03,control,0.43,0.063,2025-02
CUST-200294,2025-03-01,control,0.47,0.053,2025-03
CUST-200295,2025-12-01,treatment,0.576,0.031,2025-12
CUST-200296,2025-01-03,control,0.385,0.02,2025-01
CUST-200297,2025-10-16,control,0.38,0.043,2025-10
CUST-200298,2025-06-05,control,0.532,0.02,2025-06
CUST-200299,2026-01-15,treatment,0.519,0.031,2026-01
CUST-200300,2025-06-24,control,0.386,0.061,2025-06
CUST-200301,2025-07-04,treatment,0.544,0.039,2025-07
CUST-200302,2025-06-30,control,0.435,0.071,2025-06
CUST-200303,2025-11-19,control,0.52,0.045,2025-11
CUST-200304,2025-11-03,treatment,0.545,0.047,2025-11
CUST-200305,2026-01-19,treatment,0.546,0.032,2026-01
CUST-200306,2025-06-15,treatment,0.448,0.0,2025-06
CUST-200307,2025-12-03,control,0.477,0.097,2025-12
CUST-200308,2025-01-02,control,0.33,0.053,2025-01
CUST-200309,2025-09-05,control,0.344,0.047,2025-09
CUST-200310,2025-09-01,treatment,0.278,0.011,2025-09
CUST-200311,2025-01-21,treatment,0.682,0.05,2025-01
CUST-200312,2025-03-10,control,0.487,0.08,2025-03
CUST-200313,2026-01-25,control,0.311,0.048,2026-01
CUST-200314,2025-01-11,control,0.337,0.051,2025-01
CUST-200315,2025-07-22,treatment,0.376,0.057,2025-07
CUST-200316,2025-11-07,treatment,0.531,0.031,2025-11
CUST-200317,2026-01-29,treatment,0.576,0.084,2026-01
CUST-200318,2025-04-09,control,0.386,0.076,2025-04
CUST-200319,2025-09-07,control,0.399,0.065,2025-09
CUST-200320,2025-10-30,control,0.27,0.038,2025-10
CUST-200321,2025-12-28,control,0.388,0.071,2025-12
CUST-200322,2025-09-14,treatment,0.589,0.02,2025-09
CUST-200323,2025-04-04,treatment,0.457,0.052,2025-04
CUST-200324,2025-12-20,control,0.424,0.023,2025-12
CUST-200325,2026-01-13,control,0.494,0.08,2026-01
CUST-200326,2025-05-24,treatment,0.535,0.076,2025-05
CUST-200327,2025-07-18,control,0.496,0.045,2025-07
CUST-200328,2025-09-18,treatment,0.523,0.064,2025-09
CUST-200329,2025-11-29,control,0.647,0.033,2025-11
CUST-200330,2025-08-16,treatment,0.613,0.035,2025-08
CUST-200331,2025-10-27,control,0.191,0.068,2025-10
CUST-200332,2025-11-10,control,0.329,0.063,2025-11
CUST-200333,2025-03-25,treatment,0.402,0.034,2025-03
CUST-200334,2025-05-12,control,0.218,0.072,2025-05
CUST-200335,2025-12-04,treatment,0.53,0.056,2025-12
CUST-200336,2025-08-28,treatment,0.581,0.044,2025-08
CUST-200337,2025-03-22,control,0.536,0.055,2025-03
CUST-200338,2025-08-05,treatment,0.527,0.028,2025-08
CUST-200339,2025-03-26,control,0.49,0.055,2025-03
CUST-200340,2025-01-18,control,0.397,0.049,2025-01
CUST-200341,2025-07-03,control,0.497,0.077,2025-07
CUST-200342,2025-01-14,treatment,0.601,0.045,2025-01
CUST-200343,2026-01-17,control,0.464,0.083,2026-01
CUST-200344,2025-12-28,control,0.554,0.025,2025-12
CUST-200345,2025-03-29,treatment,0.631,0.075,2025-03
CUST-200346,2025-09-14,treatment,0.516,0.049,2025-09
CUST-200347,2025-06-04,treatment,0.466,0.072,2025-06
CUST-200348,2025-09-03,treatment,0.524,0.041,2025-09
CUST-200349,2025-07-28,treatment,0.458,0.065,2025-07
CUST-200350,2025-10-25,treatment,0.599,0.037,2025-10
CUST-200351,2025-10-31,control,0.496,0.068,2025-10
CUST-200352,2025-01-07,control,0.421,0.062,2025-01
CUST-200353,2025-12-05,treatment,0.468,0.076,2025-12
CUST-200354,2025-04-03,treatment,0.515,0.038,2025-04
CUST-200355,2025-09-12,treatment,0.589,0.062,2025-09
CUST-200356,2025-09-18,treatment,0.579,0.05,2025-09
CUST-200357,2025-09-11,control,0.485,0.034,2025-09
CUST-200358,2025-10-15,control,0.405,0.073,2025-10
CUST-200359,2025-02-22,control,0.387,0.069,2025-02
CUST-200360,2025-09-09,control,0.402,0.039,2025-09
CUST-200361,2025-05-31,treatment,0.534,0.013,2025-05
CUST-200362,2025-06-14,control,0.467,0.073,2025-06
CUST-200363,2025-02-28,control,0.416,0.062,2025-02
CUST-200364,2025-08-24,treatment,0.475,0.044,2025-08
CUST-200365,2025-05-10,control,0.649,0.057,2025-05
CUST-200366,2025-10-07,control,0.425,0.076,2025-10
CUST-200367,2025-07-10,control,0.42,0.043,2025-07
CUST-200368,2025-06-12,treatment,0.576,0.038,2025-06
CUST-200369,2025-07-23,control,0.377,0.064,2025-07
CUST-200370,2025-08-14,treatment,0.445,0.054,2025-08
CUST-200371,2025-09-28,treatment,0.452,0.052,2025-09
CUST-200372,2025-02-01,control,0.493,0.106,2025-02
CUST-200373,2025-11-17,control,0.599,0.069,2025-11
CUST-200374,2025-03-09,treatment,0.335,0.067,2025-03
CUST-200375,2025-04-03,treatment,0.436,0.001,2025-04
CUST-200376,2025-11-06,control,0.399,0.099,2025-11
CUST-200377,2025-01-02,control,0.511,0.084,2025-01
CUST-200378,2025-06-02,treatment,0.454,0.031,2025-06
CUST-200379,2025-09-23,treatment,0.429,0.019,2025-09
CUST-200380,2025-11-08,treatment,0.607,0.045,2025-11
CUST-200381,2025-12-24,control,0.339,0.066,2025-12
CUST-200382,2025-09-27,treatment,0.353,0.068,2025-09
CUST-200383,2025-04-04,control,0.376,0.071,2025-04
CUST-200384,2025-05-26,control,0.368,0.036,2025-05
CUST-200385,2025-01-10,treatment,0.533,0.057,2025-01
CUST-200386,2025-11-05,control,0.359,0.076,2025-11
CUST-200387,2025-01-03,treatment,0.439,0.033,2025-01
CUST-200388,2025-02-20,treatment,0.459,0.045,2025-02
CUST-200389,2026-01-25,control,0.255,0.08,2026-01
CUST-200390,2025-03-06,control,0.563,0.046,2025-03
CUST-200391,2025-04-24,treatment,0.67,0.034,2025-04
CUST-200392,2025-06-13,control,0.434,0.074,2025-06
CUST-200393,2025-02-25,treatment,0.294,0.029,2025-02
CUST-200394,2025-09-20,control,0.478,0.078,2025-09
CUST-200395,2025-05-05,control,0.417,0.039,2025-05
CUST-200396,2025-04-30,control,0.486,0.054,2025-04
CUST-200397,2025-08-18,treatment,0.621,0.039,2025-08
CUST-200398,2025-05-10,treatment,0.451,0.075,2025-05
CUST-200399,2025-03-29,treatment,0.565,0.035,2025-03
CUST-200400,2025-12-11,treatment,0.655,0.047,2025-12
CUST-200401,2025-08-21,treatment,0.447,0.052,2025-08
CUST-200402,2025-12-26,control,0.521,0.053,2025-12
CUST-200403,2025-05-24,treatment,0.396,0.073,2025-05
CUST-200404,2026-01-01,control,0.505,0.074,2026-01
CUST-200405,2025-12-22,treatment,0.32,0.057,2025-12
CUST-200406,2025-01-09,treatment,0.458,0.044,2025-01
CUST-200407,2025-02-20,treatment,0.393,0.06,2025-02
CUST-200408,2025-11-16,treatment,0.683,0.077,2025-11
CUST-200409,2025-04-29,treatment,0.464,0.07,2025-04
CUST-200410,2025-11-01,treatment,0.544,0.045,2025-11
CUST-200411,2025-06-23,control,0.489,0.052,2025-06
CUST-200412,2025-04-14,treatment,0.476,0.025,2025-04
CUST-200413,2025-03-29,treatment,0.645,0.029,2025-03
CUST-200414,2025-04-01,treatment,0.623,0.056,2025-04
CUST-200415,2025-09-23,control,0.359,0.026,2025-09
CUST-200416,2025-01-14,control,0.447,0.072,2025-01
CUST-200417,2025-03-17,control,0.514,0.054,2025-03
CUST-200418,2025-11-25,treatment,0.497,0.037,2025-11
CUST-200419,2025-05-08,treatment,0.64,0.047,2025-05
CUST-200420,2025-09-01,control,0.429,0.042,2025-09
CUST-200421,2025-04-30,treatment,0.464,0.014,2025-04
CUST-200422,2025-01-07,treatment,0.588,0.043,2025-01
CUST-200423,2025-06-29,treatment,0.439,0.063,2025-06
CUST-200424,2025-04-01,treatment,0.45,0.041,2025-04
CUST-200425,2025-10-22,control,0.456,0.032,2025-10
CUST-200426,2025-11-29,control,0.331,0.082,2025-11
CUST-200427,2025-12-19,treatment,0.56,0.028,2025-12
CUST-200428,2025-08-29,control,0.449,0.069,2025-08
CUST-200429,2025-02-02,control,0.415,0.094,2025-02
CUST-200430,2025-12-09,treatment,0.441,0.013,2025-12
CUST-200431,2025-12-04,treatment,0.538,0.014,2025-12
CUST-200432,2025-02-28,control,0.272,0.079,2025-02
CUST-200433,2025-06-13,control,0.501,0.092,2025-06
CUST-200434,2026-01-17,control,0.262,0.077,2026-01
CUST-200435,2025-11-19,control,0.348,0.066,2025-11
CUST-200436,2025-03-24,control,0.428,0.097,2025-03
CUST-200437,2025-09-08,control,0.415,0.073,2025-09
CUST-200438,2025-05-02,treatment,0.5,0.02,2025-05
CUST-200439,2025-12-14,control,0.388,0.103,2025-12
CUST-200440,2026-01-06,treatment,0.528,0.051,2026-01
CUST-200441,2025-11-09,control,0.521,0.063,2025-11
CUST-200442,2025-05-06,control,0.375,0.029,2025-05
CUST-200443,2025-06-07,control,0.444,0.084,2025-06
CUST-200444,2025-08-27,control,0.525,0.044,2025-08
CUST-200445,2026-01-15,control,0.44,0.041,2026-01
CUST-200446,2025-05-18,control,0.345,0.031,2025-05
CUST-200447,2025-08-11,treatment,0.476,0.045,2025-08
CUST-200448,2025-10-23,control,0.283,0.045,2025-10
CUST-200449,2025-05-29,treatment,0.407,0.045,2025-05
CUST-200450,2025-05-05,treatment,0.479,0.031,2025-05
CUST-200451,2025-06-06,control,0.502,0.053,2025-06
CUST-200452,2025-06-26,treatment,0.535,0.023,2025-06
CUST-200453,2025-02-07,control,0.51,0.069,2025-02
CUST-200454,2025-02-03,treatment,0.502,0.03,2025-02
CUST-200455,2025-10-07,control,0.31,0.042,2025-10
CUST-200456,2026-01-04,control,0.475,0.029,2026-01
CUST-200457,2025-11-19,control,0.436,0.096,2025-11
CUST-200458,2025-12-29,treatment,0.55,0.042,2025-12
CUST-200459,2025-12-02,control,0.48,0.051,2025-12
CUST-200460,2025-11-18,control,0.442,0.041,2025-11
CUST-200461,2025-01-24,control,0.499,0.087,2025-01
CUST-200462,2025-12-16,control,0.416,0.066,2025-12
CUST-200463,2025-06-28,treatment,0.437,0.064,2025-06
