customer_id,source_prospect_id,industry,region,company_size_band,est_annual_revenue,digital_engagement_score,years_in_business,existing_bank_relationship,acquisition_date,credit_line
CUST-200039,PROS-102643,Healthcare,East,1-9 employees,1224000.0,,35,Yes,2025-12-27,12000.0
CUST-200040,PROS-100739,Wholesale Distribution,East,1-9 employees,,36.6,2,Yes,2025-03-23,7000.0
CUST-200041,PROS-102978,Professional Services,West,50-249 employees,778000.0,57.0,33,No,2025-08-16,4000.0
CUST-200042,PROS-100209,HOSPITALITY,West,50-249 employees,458000.0,60.6,37,No,2025-03-03,51000.0
CUST-200043,PROS-105458,Transportation & Logistics,South,250-999 employees,1313000.0,41.3,17,No,2025-05-14,13000.0
CUST-200044,PROS-101560,Professional Services,West,250-999 employees,1733000.0,38.0,15,No,2025-06-17,10000.0
CUST-200045,PROS-103993,Professional Services,North,1-9 employees,5461000.0,42.9,9,Yes,2026-01-09,8000.0
CUST-200046,PROS-101871,Professional Services,South,1-9 employees,759000.0,53.3,16,Yes,2025-05-23,25000.0
CUST-200047,PROS-103128,Transportation & Logistics,North,1-9 employees,544000.0,43.4,10,No,2025-01-11,14000.0
CUST-200048,PROS-103285,Healthcare,East,1-9 employees,1149000.0,36.6,38,Yes,2025-07-22,7000.0
CUST-200049,PROS-101117,Transportation & Logistics,West,50-249 employees,404000.0,9.4,7,Yes,2025-06-20,11000.0
CUST-200050,PROS-105824,Transportation & Logistics,East,50-249 employees,169000.0,28.5,22,Yes,2025-10-27,16000.0
CUST-200051,PROS-104665,Wholesale Distribution,South,10-49 employees,1508000.0,88.4,17,No,2025-01-02,10000.0
CUST-200052,PROS-105646,Wholesale Distribution,North,10-49 employees,1334000.0,63.2,34,Yes,2025-12-30,21000.0
CUST-200053,PROS-105370,Hospitality,Central,1-9 employees,315000.0,23.0,18,No,2025-10-24,47000.0
CUST-200054,PROS-103591,Professional Services,North,1-9 employees,3499000.0,75.2,27,Yes,2025-08-26,10000.0
CUST-200055,PROS-105540,Professional Services,Central,50-249 employees,2244000.0,47.5,6,Yes,2025-12-10,11000.0
CUST-200056,PROS-100550,Wholesale Distribution,East,250-999 employees,813000.0,29.6,13,Yes,2025-04-01,8000.0
CUST-200057,PROS-101183,Healthcare,South,10-49 employees,1687000.0,58.6,5,No,2025-06-10,12000.0
CUST-200058,PROS-100277,Hospitality,West,50-249 employees,633000.0,5.7,36,No,2025-04-29,4000.0
CUST-200059,PROS-101950,Education,West,50-249 employees,230000.0,35.5,21,Yes,2025-04-21,25000.0
CUST-200060,PROS-102321,Manufacturing,East,10-49 employees,423000.0,10.3,21,Yes,2025-12-29,5000.0
CUST-200061,PROS-101627,Transportation & Logistics,North,250-999 employees,2727000.0,29.1,36,Yes,2025-12-28,8000.0
CUST-200062,PROS-104980,Education,East,1-9 employees,697000.0,54.6,19,No,2025-03-25,14000.0
CUST-200063,PROS-102132,Transportation & Logistics,West,50-249 employees,1207000.0,24.5,32,Yes,2025-04-10,30000.0
CUST-200064,PROS-101684,Construction,East,1-9 employees,571000.0,38.2,9,Yes,2025-02-07,8000.0
CUST-200065,PROS-103261,Healthcare,South,1-9 employees,1938000.0,33.4,17,Yes,2025-03-03,11000.0
CUST-200066,PROS-100845,Manufacturing,West,1-9 employees,196000.0,54.0,14,Yes,2026-01-04,15000.0
CUST-200067,PROS-104825,Healthcare,South,10-49 employees,255000.0,30.3,18,Yes,2025-03-18,8000.0
CUST-200068,PROS-100466,Retail Trade,South,1-9 employees,1437000.0,64.4,11,Yes,2025-01-11,12000.0
CUST-200069,PROS-105920,Retail Trade,Central,50-249 employees,2939000.0,21.5,11,Yes,2025-12-16,5000.0
CUST-200070,PROS-104645,Healthcare,Central,1-9 employees,9178000.0,76.1,13,Yes,2025-10-27,9000.0
CUST-200071,PROS-101199,Technology,East,50-249 employees,604000.0,43.3,8,No,2025-10-12,27000.0
CUST-200072,PROS-100029,Healthcare,South,1-9 employees,902000.0,25.1,36,Yes,2025-02-28,21000.0
CUST-200073,PROS-104900,Construction,North,1-9 employees,1213000.0,30.6,8,No,2025-01-08,10000.0
CUST-200074,PROS-104256,Construction,West,250-999 employees,1052000.0,47.1,29,Yes,2025-09-24,7000.0
CUST-200075,PROS-104391,Wholesale Distribution,Central,250-999 employees,1791000.0,73.1,9,No,2025-08-11,11000.0
CUST-200076,PROS-104640,Wholesale Distribution,East,50-249 employees,927000.0,65.6,11,Yes,2025-03-16,5000.0
CUST-200077,PROS-100462,Hospitality,South,50-249 employees,144000.0,64.9,3,Yes,2025-07-01,11000.0
CUST-200078,PROS-102141,Wholesale Distribution,South,1-9 employees,1038000.0,34.7,17,Yes,2025-12-25,10000.0
CUST-200079,PROS-100703,Retail Trade,North,1-9 employees,808000.0,17.4,3,Yes,2025-12-28,10000.0
CUST-200080,PROS-105184,Hospitality,South,1-9 employees,587000.0,49.3,37,No,2025-01-20,12000.0
CUST-200081,PROS-103750,Transportation & Logistics,South,1000+ employees,556000.0,70.1,22,Yes,2025-01-14,18000.0
CUST-200082,PROS-101985,Hospitality,North,1-9 employees,421000.0,89.2,19,Yes,2025-05-02,7000.0
CUST-200083,PROS-100398,Professional Services,East,10-49 employees,499000.0,52.6,18,No,2025-10-27,23000.0
CUST-200084,PROS-101864,Wholesale Distribution,South,50-249 employees,954000.0,32.5,11,Yes,2025-11-10,26000.0
CUST-200085,PROS-101947,Education,North,10-49 employees,479000.0,23.8,2,No,2025-07-29,50000.0
CUST-200086,PROS-104394,Transportation & Logistics,South,10-49 employees,1688000.0,65.2,36,No,2025-08-15,15000.0
CUST-200087,PROS-103830,Wholesale Distribution,North,50-249 employees,131000.0,84.4,20,Yes,2025-07-08,32000.0
CUST-200088,PROS-105326,Transportation & Logistics,North,50-249 employees,401000.0,62.6,8,No,2025-06-18,24000.0
CUST-200089,PROS-102839,Education,East,50-249 employees,520000.0,37.6,3,No,2025-02-20,14000.0
CUST-200090,PROS-100725,Retail Trade,East,10-49 employees,,83.8,13,Yes,2025-06-24,6000.0
CUST-200091,PROS-104292,Healthcare,North,50-249 employees,456000.0,18.2,35,Yes,2026-01-29,22000.0
CUST-200092,PROS-104575,Hospitality,East,50-249 employees,,53.7,33,No,2025-07-20,15000.0
CUST-200093,PROS-103371,Professional Services,South,1-9 employees,2005000.0,50.6,38,No,2025-08-26,39000.0
CUST-200094,PROS-104637,Healthcare,East,250-999 employees,487000.0,40.7,6,Yes,2026-02-02,20000.0
CUST-200095,PROS-102970,TECHNOLOGY,West,250-999 employees,3457000.0,70.6,22,No,2025-01-12,25000.0
CUST-200096,PROS-103144,Hospitality,Central,1-9 employees,686000.0,9.7,9,Yes,2025-09-27,9000.0
CUST-200097,PROS-102558,Manufacturing,East,1-9 employees,991000.0,65.8,1,No,2025-04-12,15000.0
CUST-200098,PROS-100154,Healthcare,North,10-49 employees,6710000.0,67.7,29,No,2025-07-14,4000.0
CUST-200099,PROS-100659,Professional Services,South,10-49 employees,1855000.0,53.3,28,No,2025-01-05,18000.0
CUST-200100,PROS-100191,Technology,North,1-9 employees,127000.0,59.0,18,Yes,2025-05-09,27000.0
CUST-200101,PROS-103826,Construction,Central,250-999 employees,267000.0,55.4,6,No,2025-08-06,30000.0
CUST-200102,PROS-101885,Retail Trade,North,10-49 employees,659000.0,22.6,4,Yes,2025-07-21,10000.0
CUST-200103,PROS-103060,Professional Services,West,250-999 employees,372000.0,31.0,16,No,2025-06-07,4000.0
CUST-200104,PROS-105448,Healthcare,Central,50-249 employees,1398000.0,88.2,27,Yes,2026-01-05,9000.0
CUST-200105,PROS-101495,Healthcare,Central,50-249 employees,4144000.0,64.5,7,Yes,2025-03-28,12000.0
CUST-200106,PROS-102449,Retail Trade,South,50-249 employees,2826000.0,39.5,21,Yes,2025-03-29,17000.0
CUST-200107,PROS-104545,Hospitality,Central,50-249 employees,2889000.0,80.5,5,No,2025-08-17,3000.0
CUST-200108,PROS-101371,Construction,North,50-249 employees,1302000.0,59.3,14,Yes,2025-05-19,12000.0
CUST-200109,PROS-100479,Retail Trade,South,1-9 employees,801000.0,76.4,25,No,2025-04-23,7000.0
CUST-200110,PROS-101733,Wholesale Distribution,East,1-9 employees,2598000.0,66.0,8,Yes,2025-01-26,31000.0
CUST-200111,PROS-100970,Professional Services,North,50-249 employees,296000.0,45.0,24,Yes,2025-07-28,3000.0
CUST-200112,PROS-105584,Healthcare,South,250-999 employees,331000.0,63.7,5,Yes,2025-09-09,24000.0
CUST-200113,PROS-104861,Wholesale Distribution,South,50-249 employees,315000.0,33.5,22,Yes,2025-08-16,12000.0
CUST-200114,PROS-103807,Retail Trade,Central,1-9 employees,3678000.0,64.5,29,Yes,2025-11-03,3000.0
CUST-200115,PROS-105232,Professional Services,North,1-9 employees,3976000.0,63.6,15,Yes,2025-09-23,36000.0
CUST-200116,PROS-104832,Construction,South,1-9 employees,1133000.0,88.7,34,Yes,2025-09-10,30000.0
CUST-200117,PROS-101129,Technology,Central,1-9 employees,1047000.0,80.0,37,Yes,2025-05-06,28000.0
CUST-200118,PROS-105359,Construction,South,1-9 employees,2241000.0,64.8,21,Yes,2025-11-21,14000.0
CUST-200119,PROS-103242,Wholesale Distribution,West,1-9 employees,677000.0,40.2,14,Yes,2025-12-23,8000.0
CUST-200120,PROS-104856,Wholesale Distribution,West,10-49 employees,1634000.0,,30,Yes,2025-11-05,13000.0
CUST-200121,PROS-105376,Retail Trade,Central,250-999 employees,767000.0,48.6,11,No,2025-02-11,18000.0
CUST-200122,PROS-101905,Professional Services,Central,1-9 employees,1858000.0,44.4,32,No,2026-01-24,9000.0
CUST-200123,PROS-100671,Technology,South,1-9 employees,97000.0,56.9,3,Yes,2025-08-10,7000.0
CUST-200124,PROS-101367,Healthcare,East,50-249 employees,304000.0,53.5,31,Yes,2025-06-30,17000.0
CUST-200125,PROS-102555,Retail Trade,Central,1-9 employees,17103000.0,30.8,34,No,2025-04-01,15000.0
CUST-200126,PROS-104916,Retail Trade,East,10-49 employees,424000.0,79.3,8,No,2025-02-03,23000.0
CUST-200127,PROS-105168,Construction,West,50-249 employees,808000.0,87.3,9,No,2025-12-02,33000.0
CUST-200128,PROS-100040,Retail Trade,South,10-49 employees,2439000.0,42.1,4,Yes,2025-08-03,22000.0
CUST-200129,PROS-103074,Transportation & Logistics,East,50-249 employees,684000.0,40.2,19,Yes,2026-01-01,6000.0
CUST-200130,PROS-102495,Professional Services,North,10-49 employees,,38.1,9,Yes,2025-11-05,13000.0
CUST-200131,PROS-101335,Education,North,250-999 employees,383000.0,33.7,3,Yes,2025-11-20,16000.0
CUST-200132,PROS-100727,Manufacturing,East,1-9 employees,319000.0,13.6,1,No,2025-06-12,21000.0
CUST-200133,PROS-102022,Technology,Central,250-999 employees,1527000.0,,13,Yes,2025-05-30,22000.0
CUST-200134,PROS-105666,Professional Services,South,50-249 employees,290000.0,69.2,11,Yes,2025-06-29,12000.0
CUST-200135,PROS-101937,Transportation & Logistics,East,1-9 employees,232000.0,7.7,20,Yes,2025-01-03,9000.0
CUST-200136,PROS-103123,Technology,South,1-9 employees,125000.0,44.2,38,Yes,2025-10-22,24000.0
CUST-200137,PROS-104234,Professional Services,Central,50-249 employees,332000.0,39.3,6,Yes,2025-12-26,16000.0
CUST-200138,PROS-102174,Professional Services,North,1-9 employees,343000.0,64.1,39,Yes,2025-01-07,15000.0
CUST-200139,PROS-105835,Wholesale Distribution,West,250-999 employees,2073000.0,18.6,15,Yes,2025-12-23,8000.0
CUST-200140,PROS-105787,Technology,Central,1-9 employees,414000.0,70.1,8,No,2025-09-20,47000.0
CUST-200141,PROS-101513,Construction,South,50-249 employees,1855000.0,22.6,19,Yes,2025-08-10,15000.0
CUST-200142,PROS-102991,Technology,South,1-9 employees,865000.0,47.5,1,Yes,2025-10-10,12000.0
CUST-200143,PROS-101801,Healthcare,North,50-249 employees,609000.0,32.5,34,Yes,2025-01-09,15000.0
CUST-200144,PROS-101704,Education,Central,10-49 employees,1909000.0,63.2,33,Yes,2026-01-24,12000.0
CUST-200145,PROS-100225,Construction,West,1-9 employees,782000.0,40.4,14,No,2025-12-15,6000.0
CUST-200146,PROS-103667,Retail Trade,West,1000+ employees,1309000.0,75.4,14,Yes,2025-10-19,15000.0
CUST-200147,PROS-103023,Retail Trade,East,10-49 employees,1143000.0,46.5,24,Yes,2025-05-13,5000.0
CUST-200148,PROS-100318,Education,East,10-49 employees,2872000.0,82.6,15,Yes,2025-02-22,14000.0
CUST-200149,PROS-101672,Professional Services,West,250-999 employees,1288000.0,64.7,24,Yes,2025-05-02,5000.0
CUST-200150,PROS-105452,Wholesale Distribution,West,10-49 employees,453000.0,21.0,7,No,2025-07-19,3000.0
CUST-200151,PROS-101436,Healthcare,Central,1-9 employees,1511000.0,52.8,4,No,2026-01-30,19000.0
CUST-200152,PROS-100869,Manufacturing,North,10-49 employees,1698000.0,73.1,5,Yes,2025-06-12,6000.0
CUST-200153,PROS-102946,Transportation & Logistics,North,1-9 employees,772000.0,46.0,8,Yes,2025-10-19,17000.0
CUST-200154,PROS-105912,Technology,Central,250-999 employees,1794000.0,25.1,24,No,2025-06-10,14000.0
CUST-200155,PROS-101451,Manufacturing,West,1-9 employees,2215000.0,,23,No,2025-01-26,14000.0
CUST-200156,PROS-104053,Wholesale Distribution,East,10-49 employees,500000.0,18.6,8,Yes,2025-11-11,9000.0
CUST-200157,PROS-104580,Retail Trade,West,50-249 employees,1791000.0,71.4,14,Yes,2025-05-16,12000.0
CUST-200158,PROS-101423,Technology,West,10-49 employees,1594000.0,51.7,16,Yes,2025-08-21,9000.0
CUST-200159,PROS-104387,Manufacturing,West,10-49 employees,1261000.0,37.4,4,Yes,2025-05-14,23000.0
CUST-200160,PROS-102199,Retail Trade,Central,1-9 employees,1763000.0,55.4,20,Yes,2025-10-20,9000.0
CUST-200161,PROS-103802,Wholesale Distribution,West,50-249 employees,738000.0,65.8,24,Yes,2025-11-23,11000.0
CUST-200162,PROS-103808,Transportation & Logistics,North,10-49 employees,858000.0,68.2,39,No,2025-10-26,20000.0
CUST-200163,PROS-103220,Technology,North,1000+ employees,41000.0,51.1,15,Yes,2025-12-26,9000.0
CUST-200164,PROS-100560,Transportation & Logistics,West,10-49 employees,,67.5,20,No,2025-10-03,4000.0
CUST-200165,PROS-105020,Wholesale Distribution,East,10-49 employees,2842000.0,28.8,13,Yes,2025-07-31,7000.0
CUST-200166,PROS-101922,Wholesale Distribution,East,50-249 employees,893000.0,,33,Yes,2025-10-31,25000.0
CUST-200167,PROS-100250,Retail Trade,West,50-249 employees,869000.0,,7,No,2025-10-01,14000.0
CUST-200168,PROS-103549,Technology,North,1-9 employees,3444000.0,43.4,7,Yes,2025-03-29,15000.0
CUST-200169,PROS-104083,Hospitality,North,1000+ employees,1004000.0,74.7,3,Yes,2025-04-28,15000.0
CUST-200170,PROS-100098,Technology,West,10-49 employees,3918000.0,62.6,6,Yes,2025-02-09,39000.0
CUST-200171,PROS-103081,Wholesale Distribution,North,10-49 employees,1161000.0,79.6,3,Yes,2025-11-02,3000.0
CUST-200172,PROS-101360,Manufacturing,North,10-49 employees,878000.0,58.0,7,Yes,2025-03-06,12000.0
CUST-200173,PROS-103880,Wholesale Distribution,South,1-9 employees,504000.0,70.4,28,No,2025-02-04,13000.0
CUST-200174,PROS-101052,Transportation & Logistics,West,10-49 employees,583000.0,51.8,23,Yes,2025-11-20,13000.0
CUST-200175,PROS-104168,Transportation & Logistics,Central,250-999 employees,301000.0,60.7,10,No,2025-01-21,21000.0
CUST-200176,PROS-102310,Professional Services,North,250-999 employees,894000.0,71.9,20,No,2026-01-18,21000.0
CUST-200177,PROS-105627,Manufacturing,West,1000+ employees,287000.0,5.6,25,No,2025-03-30,11000.0
CUST-200178,PROS-100826,Technology,East,1-9 employees,526000.0,86.1,2,Yes,2026-01-10,4000.0
CUST-200179,PROS-102040,Professional Services,Central,1-9 employees,1427000.0,38.0,9,Yes,2025-09-20,60000.0
CUST-200180,PROS-100689,Hospitality,East,10-49 employees,341000.0,73.2,22,Yes,2025-01-06,13000.0
CUST-200181,PROS-105556,Retail Trade,South,1-9 employees,310000.0,19.9,23,Yes,2025-11-09,14000.0
CUST-200182,PROS-105266,Transportation & Logistics,North,10-49 employees,915000.0,56.0,39,Yes,2026-02-03,28000.0
CUST-200183,PROS-101555,Retail Trade,North,250-999 employees,2655000.0,42.1,34,Yes,2026-01-05,10000.0
CUST-200184,PROS-103978,Transportation & Logistics,South,1-9 employees,,43.1,20,No,2025-12-21,28000.0
CUST-200185,PROS-104910,Education,West,50-249 employees,508000.0,55.1,26,Yes,2025-04-07,11000.0
CUST-200186,PROS-103333,Wholesale Distribution,Central,10-49 employees,992000.0,78.9,36,Yes,2025-03-21,40000.0
CUST-200187,PROS-103186,Hospitality,North,50-249 employees,436000.0,56.7,28,Yes,2025-05-05,17000.0
CUST-200188,PROS-101449,Retail Trade,Central,10-49 employees,651000.0,71.6,26,Yes,2025-08-11,8000.0
CUST-200189,PROS-100576,Education,North,10-49 employees,110000.0,18.6,9,Yes,2025-11-07,49000.0
CUST-200190,PROS-105384,Manufacturing,South,1-9 employees,457000.0,75.5,28,Yes,2026-01-29,19000.0
CUST-200191,PROS-105405,Construction,North,10-49 employees,769000.0,10.0,24,Yes,2025-07-12,9000.0
CUST-200192,PROS-103805,Wholesale Distribution,North,250-999 employees,726000.0,23.4,20,No,2025-07-08,5000.0
CUST-200193,PROS-102029,Construction,East,10-49 employees,716000.0,37.2,38,No,2025-12-06,20000.0
CUST-200194,PROS-102087,Technology,Central,1-9 employees,340000.0,50.8,29,No,2026-01-17,30000.0
CUST-200195,PROS-104372,Professional Services,South,1-9 employees,93000.0,7.4,2,Yes,2025-06-21,16000.0
CUST-200196,PROS-104693,Wholesale Distribution,West,1-9 employees,2480000.0,56.0,11,Yes,2025-08-06,16000.0
CUST-200197,PROS-103859,Healthcare,South,10-49 employees,4502000.0,,5,Yes,2025-04-15,34000.0
CUST-200198,PROS-100523,Wholesale Distribution,West,1-9 employees,728000.0,32.5,24,Yes,2025-05-18,19000.0
CUST-200199,PROS-100974,Retail Trade,South,10-49 employees,178000.0,34.4,25,Yes,2025-11-01,9000.0
CUST-200200,PROS-105393,Wholesale Distribution,North,10-49 employees,416000.0,26.5,17,Yes,2025-03-06,9000.0
CUST-200201,PROS-103647,Technology,West,10-49 employees,350000.0,60.6,29,No,2025-04-25,18000.0
CUST-200202,PROS-100055,Manufacturing,Central,1-9 employees,288000.0,39.7,4,No,2025-02-11,18000.0
CUST-200203,PROS-100622,Retail Trade,Central,1-9 employees,157000.0,56.1,7,Yes,2025-04-12,25000.0
CUST-200204,PROS-104000,Construction,South,50-249 employees,2020000.0,50.8,27,Yes,2025-10-10,16000.0
CUST-200205,PROS-100027,Wholesale Distribution,West,1-9 employees,134000.0,67.2,29,No,2025-12-10,20000.0
CUST-200206,PROS-100968,Education,East,10-49 employees,586000.0,44.1,10,No,2025-05-12,16000.0
CUST-200207,PROS-103296,Professional Services,West,1-9 employees,802000.0,76.9,27,No,2025-12-26,23000.0
CUST-200208,PROS-104174,Healthcare,Central,1-9 employees,6383000.0,33.7,20,No,2025-06-13,20000.0
CUST-200209,PROS-103925,Transportation & Logistics,East,1000+ employees,659000.0,7.5,21,Yes,2025-04-17,11000.0
CUST-200210,PROS-101348,Hospitality,Central,1-9 employees,680000.0,21.5,25,Yes,2026-01-10,11000.0
CUST-200211,PROS-104286,Hospitality,West,250-999 employees,,70.1,29,Yes,2025-07-25,16000.0
CUST-200212,PROS-101422,Transportation & Logistics,North,1-9 employees,5230000.0,46.2,11,Yes,2025-03-21,14000.0
CUST-200213,PROS-104493,Professional Services,East,10-49 employees,4344000.0,,33,Yes,2025-03-30,29000.0
CUST-200214,PROS-103911,Education,South,10-49 employees,3674000.0,42.6,39,Yes,2025-05-30,15000.0
CUST-200215,PROS-105100,Transportation & Logistics,Central,250-999 employees,136000.0,44.0,22,Yes,2025-02-13,5000.0
CUST-200216,PROS-103962,Technology,West,1-9 employees,529000.0,,22,Yes,2025-12-30,6000.0
CUST-200217,PROS-103415,Healthcare,East,10-49 employees,3350000.0,41.3,28,Yes,2025-09-05,11000.0
CUST-200218,PROS-100579,Retail Trade,East,1000+ employees,780000.0,23.4,35,Yes,2026-01-12,20000.0
CUST-200219,PROS-102198,Transportation & Logistics,East,10-49 employees,4069000.0,37.8,27,No,2025-04-06,8000.0
CUST-200220,PROS-101595,Retail Trade,West,250-999 employees,885000.0,38.5,9,Yes,2025-11-18,19000.0
CUST-200221,PROS-101464,Wholesale Distribution,East,1000+ employees,3142000.0,36.9,7,No,2025-09-28,8000.0
CUST-200222,PROS-105842,Transportation & Logistics,West,10-49 employees,1585000.0,26.6,22,Yes,2025-06-03,14000.0
CUST-200223,PROS-102352,Hospitality,South,50-249 employees,1024000.0,29.8,39,No,2025-05-20,17000.0
CUST-200224,PROS-105357,Hospitality,West,250-999 employees,5729000.0,58.2,1,Yes,2025-02-20,6000.0
CUST-200225,PROS-103795,Professional Services,East,10-49 employees,158000.0,56.2,29,No,2025-11-16,16000.0
CUST-200226,PROS-104782,Construction,East,1-9 employees,3434000.0,32.6,23,Yes,2025-11-12,35000.0
CUST-200227,PROS-103468,Transportation & Logistics,Central,10-49 employees,4349000.0,66.7,39,Yes,2025-08-13,11000.0
CUST-200228,PROS-102962,Education,Central,50-249 employees,2410000.0,36.7,28,Yes,2025-12-02,13000.0
CUST-200229,PROS-101178,Professional Services,South,250-999 employees,467000.0,77.8,7,Yes,2025-09-06,15000.0
CUST-200230,PROS-104349,Construction,North,50-249 employees,1189000.0,82.9,11,No,2025-10-13,14000.0
CUST-200231,PROS-100147,Professional Services,West,1-9 employees,2271000.0,32.4,5,No,2026-02-03,13000.0
CUST-200232,PROS-103881,Professional Services,Central,1-9 employees,1741000.0,45.4,25,No,2025-05-15,12000.0
CUST-200233,PROS-101069,Manufacturing,West,50-249 employees,869000.0,34.0,38,Yes,2025-09-19,5000.0
CUST-200234,PROS-105651,Hospitality,North,10-49 employees,1100000.0,63.7,18,Yes,2025-09-18,17000.0
CUST-200235,PROS-105736,Professional Services,North,50-249 employees,1972000.0,72.2,15,Yes,2025-12-30,7000.0
CUST-200236,PROS-105494,Hospitality,Central,50-249 employees,1493000.0,25.6,24,Yes,2025-10-08,16000.0
CUST-200237,PROS-102215,Construction,West,1-9 employees,633000.0,42.0,19,No,2025-04-17,20000.0
CUST-200238,PROS-100092,Wholesale Distribution,North,10-49 employees,476000.0,54.8,14,Yes,2025-12-21,17000.0
CUST-200239,PROS-105578,Healthcare,Central,50-249 employees,1182000.0,36.8,39,No,2025-11-22,7000.0
CUST-200240,PROS-102563,Healthcare,South,1-9 employees,315000.0,29.3,34,No,2025-02-25,16000.0
CUST-200241,PROS-105809,Construction,East,50-249 employees,696000.0,73.8,12,Yes,2025-10-22,11000.0
CUST-200242,PROS-105794,Healthcare,North,50-249 employees,227000.0,15.6,8,Yes,2025-04-16,9000.0
CUST-200243,PROS-105122,Technology,South,50-249 employees,,47.7,35,No,2025-04-19,46000.0
CUST-200244,PROS-101759,Transportation & Logistics,East,10-49 employees,293000.0,29.4,10,Yes,2025-06-11,7000.0
